Ax,Ay,Az,Label
0,-0.03,1.08,UP
0.01,-0.02,1.09,UP
0.02,-0.06,1.05,UP
0.04,-0.01,1.09,UP
0.06,-0.03,1.06,UP
0.05,-0.02,1.08,UP
0.05,-0.03,1.04,UP
0.02,0.01,1.12,UP
0.02,-0.03,1.06,UP
0.03,-0.04,1.07,UP
0.02,-0.04,1.07,UP
0.01,-0.05,1.07,UP
0.02,-0.06,1.08,UP
0.03,0,1.09,UP
0.02,-0.03,1.08,UP
0.03,-0.04,1.11,UP
0.07,-0.06,1.08,UP
0.26,0.08,1.03,UP
0.08,0.01,1.18,UP
0.1,-0.02,1.11,UP
0.12,-0.01,1.07,UP
0.19,0.07,1.12,UP
0.12,-0.01,1.1,UP
0.2,0.06,1.08,UP
0.05,-0.05,1.06,UP
0.17,0.04,1.12,UP
0.08,0.07,1.16,UP
0.05,-0.02,1.12,UP
0.07,-0.06,1.05,UP
0.11,0.03,1.07,UP
0.08,-0.03,1.05,UP
0.06,-0.02,1.07,UP
0.1,0,1.09,UP
0.08,-0.02,1.07,UP
0.09,0.01,1.09,UP
0.11,0.05,1.1,UP
0.03,-0.02,1.08,UP
0.05,0.01,1.09,UP
0.06,0.01,1.09,UP
0.06,-0.05,1.07,UP
0.04,-0.06,1.08,UP
0.02,-0.06,1.09,UP
0.04,-0.04,1.07,UP
0.01,-0.05,1.08,UP
0.04,-0.04,1.09,UP
0.07,0,1.11,UP
0.02,-0.01,1.12,UP
0.02,-0.06,1.1,UP
0.04,-0.07,1.05,UP
0.04,-0.04,1.11,UP
0.02,-0.07,1.06,UP
0.03,-0.06,1.06,UP
0.01,-0.07,1.09,UP
0.04,-0.04,1.09,UP
0.06,-0.04,1.06,UP
0.02,-0.03,1.06,UP
-0.01,-0.04,1.09,UP
0.02,-0.03,1.06,UP
0.01,-0.02,1.08,UP
-0.01,-0.06,1.08,UP
0,-0.04,1.07,UP
-0.02,-0.05,1.11,UP
0.04,-0.01,1.07,UP
0.03,-0.01,1.08,UP
0.02,0,1.09,UP
0.01,-0.02,1.09,UP
0.01,-0.04,1.08,UP
0.01,-0.04,1.08,UP
